*INFO* 	2016/11/22 - 11:57:18: Added Product, Name: Kondicionér pro psy a kočky, ID: 97, Reference: 
*INFO* 	2016/11/22 - 11:57:18: Assigning default Category ID: 4, for Product ID: 97
*INFO* 	2016/11/22 - 11:57:18: Image downloaded: https://www.spokojeny-mazlicek.cz/fotky62763/fotos/original/_vyr_16sampony_pro_psy_petesthe_5.jpg, Size: 6.00K, Time Taken: 0.01578 secs
*INFO* 	2016/11/22 - 11:57:18: Added Product, Name: PRE UP finální gel na zvětšení objemu srsti 170ml, ID: 98, Reference: 
*INFO* 	2016/11/22 - 11:57:18: Created Category: Speciální přípravky
*INFO* 	2016/11/22 - 11:57:18: Assigning default Category ID: 5, for Product ID: 98
*INFO* 	2016/11/22 - 11:57:19: Image downloaded: https://www.spokojeny-mazlicek.cz/fotky62763/fotos/original/_vyr_17112-large_default.jpg, Size: 15.45K, Time Taken: 0.021506 secs
*INFO* 	2016/11/22 - 11:57:19: Added Product, Name: PRE DOWN finální gel na zmenšení objemu srsti 170ml, ID: 99, Reference: 
*INFO* 	2016/11/22 - 11:57:19: Assigning default Category ID: 5, for Product ID: 99
*INFO* 	2016/11/22 - 11:57:19: Image downloaded: https://www.spokojeny-mazlicek.cz/fotky62763/fotos/original/_vyr_18113-large_default.jpg, Size: 15.44K, Time Taken: 0.011079 secs
*INFO* 	2016/11/22 - 11:57:19: Added Product, Name: Bezoplachový šampon - pěna  180ml, ID: 100, Reference: 
*INFO* 	2016/11/22 - 11:57:19: Assigning default Category ID: 5, for Product ID: 100
*INFO* 	2016/11/22 - 11:57:19: Image downloaded: https://www.spokojeny-mazlicek.cz/fotky62763/fotos/original/_vyr_19116-large_default.jpg, Size: 5.20K, Time Taken: 0.009735 secs
*INFO* 	2016/11/22 - 11:57:19: Added Product, Name: Přípravek k odstranění cucků a knotů v srsti 140ml, ID: 101, Reference: 
*INFO* 	2016/11/22 - 11:57:19: Assigning default Category ID: 5, for Product ID: 101
*INFO* 	2016/11/22 - 11:57:19: Image downloaded: https://www.spokojeny-mazlicek.cz/fotky62763/fotos/original/_vyr_20115-large_default.jpg, Size: 16.68K, Time Taken: 0.011213 secs
*INFO* 	2016/11/22 - 11:57:19: Added Product, Name: PetEsthé Aromakoupel - růže  15g, ID: 102, Reference: 
*INFO* 	2016/11/22 - 11:57:19: Created Category: Aroma koupele PetEsthé
*INFO* 	2016/11/22 - 11:57:19: Assigning default Category ID: 6, for Product ID: 102
