*INFO* 	2016/11/22 - 11:54:26: Added Product, Name: Kondicionér pro psy a kočky, ID: 22, Reference: 
*INFO* 	2016/11/22 - 11:54:26: Assigning default Category ID: 4, for Product ID: 22
*INFO* 	2016/11/22 - 11:54:26: Image downloaded: https://www.spokojeny-mazlicek.cz/fotky62763/fotos/original/_vyr_16sampony_pro_psy_petesthe_5.jpg, Size: 6.00K, Time Taken: 0.029456 secs
*INFO* 	2016/11/22 - 11:54:26: Added Product, Name: PRE UP finální gel na zvětšení objemu srsti 170ml, ID: 23, Reference: 
*INFO* 	2016/11/22 - 11:54:26: Created Category: Speciální přípravky
*INFO* 	2016/11/22 - 11:54:26: Assigning default Category ID: 5, for Product ID: 23
*INFO* 	2016/11/22 - 11:54:26: Image downloaded: https://www.spokojeny-mazlicek.cz/fotky62763/fotos/original/_vyr_17112-large_default.jpg, Size: 15.45K, Time Taken: 0.022211 secs
*INFO* 	2016/11/22 - 11:54:26: Added Product, Name: PRE DOWN finální gel na zmenšení objemu srsti 170ml, ID: 24, Reference: 
*INFO* 	2016/11/22 - 11:54:26: Assigning default Category ID: 5, for Product ID: 24
*INFO* 	2016/11/22 - 11:54:26: Image downloaded: https://www.spokojeny-mazlicek.cz/fotky62763/fotos/original/_vyr_18113-large_default.jpg, Size: 15.44K, Time Taken: 0.026563 secs
*INFO* 	2016/11/22 - 11:54:26: Added Product, Name: Bezoplachový šampon - pěna  180ml, ID: 25, Reference: 
*INFO* 	2016/11/22 - 11:54:26: Assigning default Category ID: 5, for Product ID: 25
*INFO* 	2016/11/22 - 11:54:26: Image downloaded: https://www.spokojeny-mazlicek.cz/fotky62763/fotos/original/_vyr_19116-large_default.jpg, Size: 5.20K, Time Taken: 0.012403 secs
*INFO* 	2016/11/22 - 11:54:27: Added Product, Name: Přípravek k odstranění cucků a knotů v srsti 140ml, ID: 26, Reference: 
*INFO* 	2016/11/22 - 11:54:27: Assigning default Category ID: 5, for Product ID: 26
*INFO* 	2016/11/22 - 11:54:27: Image downloaded: https://www.spokojeny-mazlicek.cz/fotky62763/fotos/original/_vyr_20115-large_default.jpg, Size: 16.68K, Time Taken: 0.023704 secs
*INFO* 	2016/11/22 - 11:54:27: Added Product, Name: PetEsthé Aromakoupel - růže  15g, ID: 27, Reference: 
*INFO* 	2016/11/22 - 11:54:27: Created Category: Aroma koupele PetEsthé
*INFO* 	2016/11/22 - 11:54:27: Assigning default Category ID: 6, for Product ID: 27
*INFO* 	2016/11/22 - 11:54:27: Image downloaded: https://www.spokojeny-mazlicek.cz/fotky62763/fotos/original/_vyr_2165-large_default.jpg, Size: 9.66K, Time Taken: 0.063935 secs
*INFO* 	2016/11/22 - 11:54:27: Added Product, Name: PetEsthé Aromakoupel - heřmánek  15g, ID: 28, Reference: 
*INFO* 	2016/11/22 - 11:54:27: Assigning default Category ID: 6, for Product ID: 28
